Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Dominican Republic;Import;Animal;Import (US$ Thousand);5644,014;4140,974;3146,648;3522,187;5807,498;8359,04;8010,102;9732,414;8281,636;10395,76
United States;Ecuador;Import;Animal;Import (US$ Thousand);491928,92;513525,031;523987,157;522593,882;594532,344;712722,016;749390,095;798933,303;1055887,332;800735,755
United States;Egypt, Arab Rep.;Import;Animal;Import (US$ Thousand);1011,081;1471,724;1332,848;1785,778;1965,921;2630,355;3199,728;3447,402;4825,484;8247,206
United States;El Salvador;Import;Animal;Import (US$ Thousand);6333,569;15494,341;11619,728;17063,711;11785,112;11054,441;8335,772;10825,752;8752,692;11009,268
United States;Equatorial Guinea;Import;Animal;Import (US$ Thousand);52,228;32,504;30,527;29,913;23,638;33,616;18,696;6,177;19,056;6,54
United States;Eritrea;Import;Animal;Import (US$ Thousand);;;16,172;27,698;;;;;;
United States;Estonia;Import;Animal;Import (US$ Thousand);3918,769;2973,123;799,971;665,411;1958,307;3486,438;1335,292;1796,299;2226,013;1790,887
United States;Ethiopia(excludes Eritrea);Import;Animal;Import (US$ Thousand);2,77;22,755;32;94,785;18,766;12,128;;;16,303;105,464
United States;Faeroe Islands;Import;Animal;Import (US$ Thousand);3705,142;9130,342;21709,942;84774,156;92530,283;134681,418;71987,56;125658,378;190376,268;130665,667
United States;Falkland Island;Import;Animal;Import (US$ Thousand);12353,022;4856,177;7184,219;8566,19;5511,502;6973,037;11200,983;13554,305;19737,241;12992,555
United States;Fiji;Import;Animal;Import (US$ Thousand);12829,304;18388,622;19198,18;16110,213;15905,954;18751,891;12343,152;11825,278;17626,723;16635,619
United States;Finland;Import;Animal;Import (US$ Thousand);46670,596;50437,233;54197,99;43270,155;36127,198;37964,087;31795,385;20544,417;21807,969;24949,807
United States;France;Import;Animal;Import (US$ Thousand);188903,389;205114,714;212462,345;184000,454;189697,343;237399,409;201155,909;241859,769;284635,339;265305,309
United States;French Polynesia;Import;Animal;Import (US$ Thousand);1468,27;1906,211;1192,993;2604,954;3147,181;3830,193;8449,763;7417,616;11402,545;12500,518
United States;Gambia, The;Import;Animal;Import (US$ Thousand);38,795;26,073;50,965;619,835;3672,209;5,719;8,63;123,855;98,823;176,666
United States;Georgia;Import;Animal;Import (US$ Thousand);;;4,488;;30,7;10,309;38,32;;2,531;4,8
United States;Germany;Import;Animal;Import (US$ Thousand);105362,357;121699,198;91263,085;62532,716;56880,527;78272,399;135307,315;204983,599;243880,149;349007,037
United States;Ghana;Import;Animal;Import (US$ Thousand);794,53;4075,199;14128,486;5910,679;763,654;762,55;456,541;563,333;518,836;448,933
United States;Greece;Import;Animal;Import (US$ Thousand);46133,572;71062,535;61699,334;43025,018;46584,492;58985,311;50802,049;54065,659;58600,575;70059,786
United States;Greenland;Import;Animal;Import (US$ Thousand);10398,752;9839,552;5982,813;7735,536;7871,167;7099,793;6213,721;8914,045;5489,799;2500,477
United States;Grenada;Import;Animal;Import (US$ Thousand);2899,768;4900,999;4620,853;4200,517;6118,768;4818,646;4428,961;5400,901;6514,37;5015,86
United States;Guatemala;Import;Animal;Import (US$ Thousand);16667,596;14365,024;16908,074;17781,352;14394,386;35982,245;25939,375;22142,507;21183,393;17230,375
United States;Guinea;Import;Animal;Import (US$ Thousand);127,731;43,869;123,069;98,341;264,432;250,522;58,589;129,482;150,676;455,665
United States;Guinea-Bissau;Import;Animal;Import (US$ Thousand);;;;;;7,876;;;;
United States;Guyana;Import;Animal;Import (US$ Thousand);38774,252;40849,474;41215,122;41847,772;39488,493;34087,932;50198,732;55823,481;50401,603;59426,574
United States;Haiti;Import;Animal;Import (US$ Thousand);924,414;907,532;889,352;739,547;990,239;1266,744;1609,008;2303,456;2149,758;1882,112
United States;Honduras;Import;Animal;Import (US$ Thousand);155146,262;161037,396;168141,273;146209,426;191496,718;220303,87;201305,458;203351,392;215332,121;172055,872
United States;Hong Kong, China;Import;Animal;Import (US$ Thousand);19632,125;12852,896;13694,695;9575,899;10872,014;11700,017;9944,802;14535,655;14231,963;20015,138
United States;Hungary;Import;Animal;Import (US$ Thousand);18430,109;15710,06;17727,754;11120,654;11772,978;28592,722;22501,195;35321,56;25130,895;16632,821
United States;Iceland;Import;Animal;Import (US$ Thousand);147368,785;128618,646;101577,096;92083,584;106398,271;104366,515;133061,868;146338,134;174168,436;182424,179
United States;India;Import;Animal;Import (US$ Thousand);328309,249;263758,007;226382,007;230933,865;403036,282;656386,483;665492,667;1053019,117;1430391,76;1415653,191
United States;Indonesia;Import;Animal;Import (US$ Thousand);575523,151;643401,508;835957,188;710136,452;766589,779;891583,162;918179,144;1049388,161;1427645,918;1214712,33
United States;Iran, Islamic Rep.;Import;Animal;Import (US$ Thousand);158,397;17,407;25,33;;8,187;;79,81;;;
United States;Iraq;Import;Animal;Import (US$ Thousand);;;;;;5;;;;
United States;Ireland;Import;Animal;Import (US$ Thousand);88873,958;109534,217;90088,27;80244,228;72008,579;92848,069;114853,556;114895,647;154926,811;213874,59
United States;Israel;Import;Animal;Import (US$ Thousand);7790,826;10410,052;14986,517;17232,451;11638,929;11477,533;13605,13;12211,909;17743,56;16617,192
United States;Italy;Import;Animal;Import (US$ Thousand);296676,292;372114,652;398298,374;329358,983;341957,133;387786,308;372688,893;386954,014;405384,865;421107,581
United States;Jamaica;Import;Animal;Import (US$ Thousand);7137,847;5548,664;5597,459;2632,112;5433,459;5677,351;6493,777;7811,652;9039,567;9668,856
United States;Japan;Import;Animal;Import (US$ Thousand);182000,467;202089,413;231089,695;216443,32;204524,639;215877,522;228078,575;241666,096;291309,713;291305,959
United States;Jordan;Import;Animal;Import (US$ Thousand);161,297;437,964;126,724;149,096;176,056;484,113;174,163;199,666;182,689;305,143
United States;Kazakhstan;Import;Animal;Import (US$ Thousand);501,02;644,962;280,287;1057,948;1076,833;1752,066;1327,921;581,648;1743,019;4267,412
United States;Kenya;Import;Animal;Import (US$ Thousand);4541,48;5206,006;3505,599;1869,676;1846,1;1211,298;969,989;997,508;1293,54;1244,255
United States;Kiribati;Import;Animal;Import (US$ Thousand);967,419;1138,426;1018,685;872,593;716,355;620,003;401,836;822,546;2940,093;2869,38
United States;Korea, Rep.;Import;Animal;Import (US$ Thousand);44160,985;50697,151;63863,323;73295,238;77776,793;92030,803;94249,818;103567,329;100322,695;119277,568
United States;Kuwait;Import;Animal;Import (US$ Thousand);;;;;;;;45,311;75,09;30,119
United States;Kyrgyz Republic;Import;Animal;Import (US$ Thousand);5,15;;;;196,66;83,5;;119,436;;9,393
United States;Lao PDR;Import;Animal;Import (US$ Thousand);;4,513;;;100,932;;;;;
United States;Latvia;Import;Animal;Import (US$ Thousand);184,568;34,375;10,56;17,626;60,565;221,092;19,657;1162,737;1816,541;2818,65
