Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;China;Export;Vegetable;Export (US$ Thousand);2926563,973;4593801,83;7797081,751;9863436,806;12327092,07;12454078,53;17722624,79;16928689,22;17357424,9;14097671,44
United States;Christmas Island;Export;Vegetable;Export (US$ Thousand);;;;;;336,901;73;;;
United States;Cocos (Keeling) Islands;Export;Vegetable;Export (US$ Thousand);33,609;;;;;;;;4157,062;
United States;Colombia;Export;Vegetable;Export (US$ Thousand);590783,645;909701,037;1249112,659;588796,136;469551,831;630907,429;539606,163;747040,913;1566876,276;1466438,04
United States;Comoros;Export;Vegetable;Export (US$ Thousand);;;;;;;;15,888;;
United States;Congo, Dem. Rep.;Export;Vegetable;Export (US$ Thousand);14239,484;37372,149;32337,994;6032,251;8332,817;13611,736;37706,079;4630,176;7877,108;1180,353
United States;Congo, Rep.;Export;Vegetable;Export (US$ Thousand);4425,499;11203,653;1012,741;6153,455;3917,378;17038,252;6581,389;11919,149;6990,401;729,528
United States;Cook Islands;Export;Vegetable;Export (US$ Thousand);;;39,339;50,17;154,317;625,558;6,942;2,939;28,343;
United States;Costa Rica;Export;Vegetable;Export (US$ Thousand);244520,762;339326,689;468744,537;333370,622;348969,673;465766,324;416479,847;241685,868;355294,491;357919,176
United States;Cote d'Ivoire;Export;Vegetable;Export (US$ Thousand);11828,046;4736,144;8537,611;10553,541;317,519;1326,419;7926,559;7021,189;11784,626;192,129
United States;Croatia;Export;Vegetable;Export (US$ Thousand);1397,532;1822,665;6120,977;4669,436;5779,218;9427,855;11254,012;11451,715;9811,688;33936,75
United States;Cuba;Export;Vegetable;Export (US$ Thousand);218951,963;273347,99;437627,582;289110,778;183077,658;194357,457;198505,267;96523,261;59138,201;26616,657
United States;Curaçao;Export;Vegetable;Export (US$ Thousand);;;;;;6584,44;8634,966;8751,865;9040,021;10806,851
United States;Cyprus;Export;Vegetable;Export (US$ Thousand);6559,362;7400,805;10041,092;6408,433;7072,15;7903,933;4690,353;6336,181;6557,867;5148,294
United States;Czech Republic;Export;Vegetable;Export (US$ Thousand);5457,704;6228,264;11005,024;8769,01;10949,593;12143,425;10154,479;17782,968;14067,919;9473,521
United States;Denmark;Export;Vegetable;Export (US$ Thousand);74078,242;106973,368;102195,439;56835,093;58855,565;84052,898;59435,199;82250,062;107638,098;68432,24
United States;Djibouti;Export;Vegetable;Export (US$ Thousand);15679,647;18269,991;85808,977;84741,804;44641,003;75269,339;63433,761;76118,66;27568,78;51186,031
United States;Dominica;Export;Vegetable;Export (US$ Thousand);2697,945;3345,789;6459,595;3310,94;4462,717;4047,335;14371,549;5284,085;3075,382;3965,167
