Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Comoros;Export;Animal;Export (US$ Thousand);;;36,259;50,426;256,826;575,792;629,068;949,803;617,101;347,759
United States;Congo, Dem. Rep.;Export;Animal;Export (US$ Thousand);12386,66;17697,523;5409,539;17978,281;23340,335;31258,239;33876,274;29394,383;37364,572;20227,772
United States;Congo, Rep.;Export;Animal;Export (US$ Thousand);1757,094;7908,877;22161,51;13717,842;37813,198;36713,278;50820,389;36406,267;42925,265;33152,458
United States;Cook Islands;Export;Animal;Export (US$ Thousand);176,573;437,479;436,92;;609,717;1233,607;1522,282;1916,591;2099,323;1627,396
United States;Costa Rica;Export;Animal;Export (US$ Thousand);10307;12811,371;16065,243;17034,171;29416,306;33359,267;42158,716;50200,849;53265,13;61262,763
United States;Cote d'Ivoire;Export;Animal;Export (US$ Thousand);3202,717;2113,508;3230,934;8868,068;4488,558;4613,431;6179,005;2959,65;3448,68;1660,376
United States;Croatia;Export;Animal;Export (US$ Thousand);3512,57;3219,796;4059,923;1562,608;3560,285;8249,375;1336,479;1291,655;1246,38;1336,769
United States;Cuba;Export;Animal;Export (US$ Thousand);70219,601;84675,061;163890,463;151805,657;119886,383;109400,251;169732,227;153733,756;149100,938;77758,331
United States;Curaçao;Export;Animal;Export (US$ Thousand);;;;;;11396,625;14824,933;17225,216;17733,261;17163,177
United States;Cyprus;Export;Animal;Export (US$ Thousand);738,735;1088,013;566,378;236,066;260,84;487,816;858,801;648,917;805,866;899,59
United States;Czech Republic;Export;Animal;Export (US$ Thousand);1343,701;1986,895;2741,286;1101,765;1045,948;1428,43;1475,426;1202,476;1286,567;1184,966
United States;Denmark;Export;Animal;Export (US$ Thousand);20809,451;23102,558;42499,176;27824,717;36717,499;60489,207;46581,581;54326,28;46210,343;65546,841
United States;Djibouti;Export;Animal;Export (US$ Thousand);;5,8;;;64,162;;127,44;537,825;;74,285
United States;Dominica;Export;Animal;Export (US$ Thousand);1513,092;2072,809;3713,616;3641,593;4683,801;4642,142;5083,775;4773,352;5288,794;4978,366
United States;Dominican Republic;Export;Animal;Export (US$ Thousand);45904,317;63730,597;108853,069;113700,679;143123,265;159610,608;180015,657;188968,178;221936,439;221419,598
United States;East Timor;Export;Animal;Export (US$ Thousand);42,061;492,284;;13,44;804,218;411,065;;;;586,114
United States;Ecuador;Export;Animal;Export (US$ Thousand);15508,074;12967,723;15733,348;15019,689;17277,298;20183,309;22818,743;24715,853;29699,068;25446,069
United States;Egypt, Arab Rep.;Export;Animal;Export (US$ Thousand);135257,232;128207,021;211127,226;146519,642;301337,458;337291,52;302488,763;328102,554;272358,926;207616,465
United States;El Salvador;Export;Animal;Export (US$ Thousand);12471,401;12953,996;18938,894;17340,604;22640,152;27892,831;32609,67;37638,229;42408,74;45999,062
United States;Equatorial Guinea;Export;Animal;Export (US$ Thousand);1662,357;919,681;835,885;1065,505;2231,02;5749,071;7641,069;11455,534;10535,961;9879,567
United States;Eritrea;Export;Animal;Export (US$ Thousand);;;;;;;;;;50,238
United States;Estonia;Export;Animal;Export (US$ Thousand);5259,094;10372,579;19775,396;14979,516;3645,519;1719,076;3212,71;2726,477;3936,128;2023,764
United States;Ethiopia(excludes Eritrea);Export;Animal;Export (US$ Thousand);;3,858;6,504;20,802;126,406;13,143;21,968;21,447;198,132;30,49
United States;Faeroe Islands;Export;Animal;Export (US$ Thousand);476;45;1064;725;392,704;733,624;;90,972;35,719;
United States;Falkland Island;Export;Animal;Export (US$ Thousand);;;3,607;16,431;50,446;;;36,308;;7,546
United States;Fiji;Export;Animal;Export (US$ Thousand);333,401;841,69;2151,954;1929,407;3423,316;650,162;878,675;536,575;1327,527;67,077
United States;Finland;Export;Animal;Export (US$ Thousand);4092,821;2955,974;5603,855;4300,529;4486,105;4237,339;2708,504;2912,572;3115,732;1147,35
United States;Fm Sudan;Export;Animal;Export (US$ Thousand);;;;;38,134;60,085;;;;
United States;Fr. So. Ant. Tr;Export;Animal;Export (US$ Thousand);;;132,009;184,799;153,042;18,372;21,171;10,733;853,268;677,762
United States;France;Export;Animal;Export (US$ Thousand);212541,822;203563,471;231246,241;185293,532;193940,134;204195,306;197714,626;196221,57;166660,294;143386,393
United States;French Polynesia;Export;Animal;Export (US$ Thousand);15135,673;18972,203;25184,961;24392,349;25235,265;31198,612;32936,845;30591,409;29948,803;24905,943
United States;Gabon;Export;Animal;Export (US$ Thousand);3762,788;9148,32;6832,62;16257,284;16954,48;29728,112;27826,639;31990,474;37712,797;31005,47
United States;Gambia, The;Export;Animal;Export (US$ Thousand);1594,978;4257,716;4981,948;4015,727;4947,44;7997,109;8350,299;3820,307;7372,783;6600,672
United States;Georgia;Export;Animal;Export (US$ Thousand);30422,927;34856,118;64152,166;66410,901;77729,869;107795,642;96237,683;96801,319;93155,277;63685,49
United States;Germany;Export;Animal;Export (US$ Thousand);292218,761;281675,929;300079,853;236311,17;290350,104;353193,003;360256,468;380238,752;412387,566;368882,609
United States;Ghana;Export;Animal;Export (US$ Thousand);7990,874;15189,251;26393,616;21103,162;19800,302;35245,149;65052,597;79926,826;70397,821;41954,161
United States;Gibraltar;Export;Animal;Export (US$ Thousand);24,528;;;;;;;;258,93;30,919
United States;Greece;Export;Animal;Export (US$ Thousand);13930,839;21522,19;19920,182;20597,037;15164,071;16353,985;15975,436;14394,881;12216,784;8217,255
United States;Greenland;Export;Animal;Export (US$ Thousand);;29,265;4,1;;;20,592;3,069;;62,964;66,655
United States;Grenada;Export;Animal;Export (US$ Thousand);1987,783;2428,289;3069,066;2409,468;2923,787;3636,014;3877,864;4774,53;5950,199;5438,314
United States;Guatemala;Export;Animal;Export (US$ Thousand);65879,852;90122,43;103019,94;92255,8;109116,601;137465,345;159588,471;162483,611;189924,243;186553,603
United States;Guinea;Export;Animal;Export (US$ Thousand);85,186;163,629;909,461;519,584;715,776;1895,211;1227,163;2352,282;4798,921;4855,811
United States;Guinea-Bissau;Export;Animal;Export (US$ Thousand);19,76;;132,722;28,782;500,697;369,151;1223,992;572,371;742,777;707,189
United States;Guyana;Export;Animal;Export (US$ Thousand);4945,677;6277,813;6057,887;5660,944;7806,726;9064,022;11583,294;12024,311;11855,604;10479,985
United States;Haiti;Export;Animal;Export (US$ Thousand);23209,472;29214,939;36740,129;37026,932;51742,169;70772,072;76552,227;74806,568;74593,528;62368,867
United States;Heard Island and McDonald Isla;Export;Animal;Export (US$ Thousand);;42,209;;;;;;;;
United States;Holy See;Export;Animal;Export (US$ Thousand);999,398;302,213;;;;51,805;318,158;1165,928;711,413;549,628
United States;Honduras;Export;Animal;Export (US$ Thousand);37351,736;40076,434;57405,185;52758,943;72106,49;83180,347;90197,579;85004,289;86805,011;89230,873
United States;Hong Kong, China;Export;Animal;Export (US$ Thousand);235364,448;298866,232;639264,918;675885,586;1178544,598;1423297,015;1181959,667;1533774,536;2155662,082;1684693,581
United States;Hungary;Export;Animal;Export (US$ Thousand);1800,866;3497,093;2625,318;3133,85;3139,078;1806,654;3213,332;2949,277;2617,639;2464,894
United States;Iceland;Export;Animal;Export (US$ Thousand);1484,098;1564,973;1477,009;1426,657;2614,843;3280,053;1666,059;1617,764;2571,99;8024,776
United States;India;Export;Animal;Export (US$ Thousand);6562,133;6752,925;7462,086;7310,714;9358,001;15544,831;15631,714;20414,433;27099,133;34540,995
United States;Indonesia;Export;Animal;Export (US$ Thousand);99184,644;152759,429;256398,223;111154,972;224800,209;288383,828;241245,703;388309,411;382339,791;251709,439
United States;Iran, Islamic Rep.;Export;Animal;Export (US$ Thousand);2504,536;4389,769;7823,046;5470,661;14136,491;19652,462;31778,48;49913,779;43834,167;10636,649
United States;Iraq;Export;Animal;Export (US$ Thousand);16608,376;73557,529;77585,412;86725,946;66732,936;107375,553;85203,456;117746,757;89732,918;56308,279
United States;Ireland;Export;Animal;Export (US$ Thousand);58311,575;74658,607;70390,1;48402,858;37887,415;34733,466;37638,04;45546,045;81767,446;47483,867
United States;Israel;Export;Animal;Export (US$ Thousand);17088,681;36150,29;45951,154;21390,69;35249,936;45940,563;25920,928;26506,01;28512,658;28525,178
United States;Italy;Export;Animal;Export (US$ Thousand);78525,005;97611,13;111801,699;92292,406;117953,945;161475,643;158787,921;165674,376;190406,475;179011,627
United States;Jamaica;Export;Animal;Export (US$ Thousand);41261,891;53204,287;69157,378;61095,819;70009,36;74893,378;82709,241;80841,909;83551,531;85933,975
United States;Japan;Export;Animal;Export (US$ Thousand);2267566,013;2426625,622;2989141,827;2949362,505;3309663,634;4017190,824;4131319,213;4348494,403;4734187,168;4018875,357
United States;Jordan;Export;Animal;Export (US$ Thousand);3183,157;7912,65;19375,881;13781,414;19191,152;54253,906;45391,22;67156,51;40928,014;25429,731
United States;Kazakhstan;Export;Animal;Export (US$ Thousand);20504,389;11882,104;22215,731;8442,355;23143,043;43555,064;120628,93;72067,54;50614,637;49130,357
United States;Kenya;Export;Animal;Export (US$ Thousand);1916,451;810,138;769,506;549,508;407,718;364,566;1823,421;471,433;1306,355;633,593
United States;Kiribati;Export;Animal;Export (US$ Thousand);;;;;;;44,08;28,536;494,196;
United States;Korea, Rep.;Export;Animal;Export (US$ Thousand);753087,294;814701,804;998701,037;804126,212;1217469,997;1921224,367;1733201,493;1694444,512;2198669,619;2050151,038
United States;Kuwait;Export;Animal;Export (US$ Thousand);16825,267;34744,049;62103,031;32005,357;34498,01;36796,324;40235,951;49950,419;61707,51;58249,82
United States;Kyrgyz Republic;Export;Animal;Export (US$ Thousand);389,16;2781,651;4155,296;9052,283;17906,213;10122,534;23356,833;16998,02;5271,992;2302,684
United States;Lao PDR;Export;Animal;Export (US$ Thousand);5,385;;;6,688;;;520;;298,518;112,888
United States;Latvia;Export;Animal;Export (US$ Thousand);12088,272;18823,21;16220,371;46319,876;43525,409;62012,772;14750,07;4655,979;14396,964;1146,032
United States;Lebanon;Export;Animal;Export (US$ Thousand);5057,183;3161,072;3697,437;5456,358;9573,993;9213,09;6053,202;9372,272;6907,977;5044,018
United States;Lesotho;Export;Animal;Export (US$ Thousand);100,73;;;;;;;6,29;;14,024
United States;Liberia;Export;Animal;Export (US$ Thousand);111,371;178,538;1215,048;452,4;1462,087;2636,162;3434,052;3670,572;1680,77;2311,573
United States;Libya;Export;Animal;Export (US$ Thousand);2161,494;24195,97;6567,345;1583,083;6534,504;1639,728;22286,688;39896,597;23630,284;20151,884
United States;Lithuania;Export;Animal;Export (US$ Thousand);68111,242;124113,475;141450,082;90955,902;107433,181;91394,191;121052,258;122676,826;73066,902;56811,908
United States;Luxembourg;Export;Animal;Export (US$ Thousand);919,251;1987,243;10600,607;658,784;1688,287;3907,327;2019,968;942,462;1597;1939,475
United States;Macao;Export;Animal;Export (US$ Thousand);5847,908;711,453;216,157;43,418;6064,468;5227,936;1404,33;940,437;2332,007;4066,264
United States;Macedonia, FYR;Export;Animal;Export (US$ Thousand);3021,778;7116,775;5107,235;4841,791;6033,729;134,187;1076,569;821,02;1003,064;1719,416
United States;Madagascar;Export;Animal;Export (US$ Thousand);1024,287;;483,497;174,419;1861,35;150,555;73,335;121;106,294;60,624
United States;Malawi;Export;Animal;Export (US$ Thousand);117,248;62,1;86,909;10,855;137,899;9,413;103,25;77,628;97,631;205,777
United States;Malaysia;Export;Animal;Export (US$ Thousand);59313,06;112767,305;126705,08;51234,896;109699,588;146930,398;133362,838;191068,78;201286,75;127248,853
United States;Maldives;Export;Animal;Export (US$ Thousand);574,96;933,871;409,985;752,475;1090,218;1106,775;1440,684;648,909;841,876;209,331
United States;Mali;Export;Animal;Export (US$ Thousand);248,789;189,556;299,583;82,251;17,216;59,634;48,5;36,52;297,623;26,728
United States;Malta;Export;Animal;Export (US$ Thousand);571,554;1815,693;182,178;4668,006;588,489;1707,389;2500,861;1572,785;2428,827;1168,474
United States;Marshall Islands;Export;Animal;Export (US$ Thousand);1712,011;2212,086;1960,995;2174,276;2690,616;2747,139;3570,279;3481,346;3718,525;3791,497
United States;Mauritania;Export;Animal;Export (US$ Thousand);28,08;;135,75;;2799,544;8626,536;10214,333;16807,803;15517,481;17074,742
United States;Mauritius;Export;Animal;Export (US$ Thousand);56,676;1019,476;126,279;406,029;1250,525;595,183;2845,932;3208,907;1092,127;422,999
United States;Mayotte;Export;Animal;Export (US$ Thousand);;;;;245,101;92,97;533,462;820,535;;
United States;Mexico;Export;Animal;Export (US$ Thousand);2665474,512;3017254,804;3626333,513;2894258,846;3313630,617;4046667,359;4227179,436;4866261,872;5753759,031;4751521,394
United States;Micronesia, Fed. Sts.;Export;Animal;Export (US$ Thousand);1330,33;1717,233;3051,878;4647,796;5775,577;6112,28;6073,749;6226,656;7268,986;6231,592
United States;Moldova;Export;Animal;Export (US$ Thousand);11592,631;32511,391;37583,013;11634,751;13357,945;13240,632;20366,295;15299,402;7841,466;1985,68
United States;Mongolia;Export;Animal;Export (US$ Thousand);938,104;1179,245;2166,545;1535,443;5493,863;5403,554;10419,281;9156,488;10134,587;1662,91
United States;Montenegro;Export;Animal;Export (US$ Thousand);;124,733;4736,477;1602,938;2345,424;2014,363;2271,048;2690,878;2422,186;364,753
United States;Montserrat;Export;Animal;Export (US$ Thousand);23,793;39,193;278,427;375,93;368,166;380,417;372,119;240,928;272,212;238,203
