Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Central African Republic;Export;  All Products;Export (US$ Thousand);25088,871;19747,922;23302,776;31485,494;10339,636;12335,446;8515,84;4103,35;32322,366;33924,555
United States;Chad;Export;  All Products;Export (US$ Thousand);60253,873;71107,491;62515,46;62698,757;89670,008;35450,336;36551,674;41460,707;66499,541;56532,483
United States;Chile;Export;  All Products;Export (US$ Thousand);6789923,304;8310803,802;12093493,22;9365332,553;10906674,81;15993031;18773079,45;17517675,08;16512735,5;15586251,65
United States;China;Export;  All Products;Export (US$ Thousand);55224097,11;65237883,48;71456411,76;69575613,27;91910977,24;104121383;110516536;121721075,5;123675622,8;116186201,6
United States;Christmas Island;Export;  All Products;Export (US$ Thousand);1512,229;2544,078;12994,431;925,955;1750,269;1486,081;4053,949;466,894;168,931;1551,179
United States;Cocos (Keeling) Islands;Export;  All Products;Export (US$ Thousand);757,982;1231,015;979,073;1440,652;728,118;957,218;932,61;22169,095;6040,796;557,62
United States;Colombia;Export;  All Products;Export (US$ Thousand);6708245,208;8559637,263;11438774,06;9457772,232;12067662,18;14335692,04;16356797,01;18369301,51;20106598,37;16503126,07
United States;Comoros;Export;  All Products;Export (US$ Thousand);108,899;367,032;424,345;1931,394;1259,238;1095,278;954,373;3491,014;3452,794;1507,078
United States;Congo, Dem. Rep.;Export;  All Products;Export (US$ Thousand);70719,051;112907,113;130260,047;79856,058;93267,329;165925,39;199549,248;169806,311;181848,831;136375,247
United States;Congo, Rep.;Export;  All Products;Export (US$ Thousand);138004,892;140023,813;184600,902;277074,11;254428,015;227293,001;237200,621;222397,877;321466,589;248520,945
United States;Cook Islands;Export;  All Products;Export (US$ Thousand);3027,954;2393,727;2790,773;1963,686;3858,635;4604,318;5504,221;4869,141;5486,093;4249,826
United States;Costa Rica;Export;  All Products;Export (US$ Thousand);4132397,99;4580636,549;5681819,567;4704373,092;5178268,088;6099237,36;7236638,312;7223399,974;6964076,275;6149869,272
United States;Cote d'Ivoire;Export;  All Products;Export (US$ Thousand);147512,469;161607,837;254106,319;206242,36;162845,207;131405,294;188087,985;167576,533;239079,267;264024,893
United States;Croatia;Export;  All Products;Export (US$ Thousand);146582,011;247010,418;466791,61;203290,109;311801,078;511383,383;310054,427;308961,839;339592,081;331933,146
United States;Cuba;Export;  All Products;Export (US$ Thousand);347775,263;447065,073;717878,764;533374,754;363112,464;363316,479;464458,419;359609,641;299064,037;180333,931
United States;Curaçao;Export;  All Products;Export (US$ Thousand);;;;;;484200,988;691942,132;687699,439;611834,151;502647,761
United States;Cyprus;Export;  All Products;Export (US$ Thousand);240179,178;169018,83;217401,096;160770,102;134395,198;97699,749;166680,853;143223,588;151660,136;101175,475
United States;Czech Republic;Export;  All Products;Export (US$ Thousand);1123105,41;1262372,69;1378320,498;969739,775;1409643,853;1684360,72;1832279,706;1943335,903;2302336,668;1975987,888
United States;Denmark;Export;  All Products;Export (US$ Thousand);2268315,987;2927239,264;2712143,788;2058489,71;2132446,964;2247928,078;2224433,307;2231000,125;2360680,955;2224030,85
United States;Djibouti;Export;  All Products;Export (US$ Thousand);47628,575;58934,056;140838,808;196691,899;122793,059;129175,5;118841,64;164483,264;110874,793;152732,281
United States;Dominica;Export;  All Products;Export (US$ Thousand);68023,814;83793,507;105437,946;76660,856;72843,63;73675,432;78934,015;77687,644;64186,171;67268,631
United States;Dominican Republic;Export;  All Products;Export (US$ Thousand);5347802,072;6090758,731;6594329,812;5269882,728;6579216,535;7325686,377;6967114,526;7155517,552;7922140,505;7134174,144
United States;East Timor;Export;  All Products;Export (US$ Thousand);11575,41;10934,227;5042,48;2350,11;4325,772;8146,198;1143,436;1365,128;1286,987;2690,584
United States;Ecuador;Export;  All Products;Export (US$ Thousand);2706856,777;2926269,554;3442245,51;3923963,081;5409017,059;6059785,107;6690073,464;7648702,521;8129379,152;5871589,145
United States;Egypt, Arab Rep.;Export;  All Products;Export (US$ Thousand);4103782,069;5347083,236;6030833,422;5257585,558;6832542,194;6228228,507;5498319,529;5175345,787;6472584,576;4748302,936
United States;El Salvador;Export;  All Products;Export (US$ Thousand);2155346,349;2309426,853;2463199,641;2018498,715;2430365,26;3357079,031;3070529,213;3262028,694;3295875,436;3246738,502
United States;Equatorial Guinea;Export;  All Products;Export (US$ Thousand);551498,185;236399,7;184514,829;305860,045;272137,422;285394,25;233161,535;756139,906;574794,79;158536,452
United States;Eritrea;Export;  All Products;Export (US$ Thousand);8847,564;6112,826;14872,461;6735,077;2384,567;4308,872;5863,859;13476,312;5327,596;3497,538
United States;Estonia;Export;  All Products;Export (US$ Thousand);221472,338;242272,948;225570,073;183222,622;187880,428;309602,8;235986,12;292850,317;294949,6;264295,213
United States;Ethiopia(excludes Eritrea);Export;  All Products;Export (US$ Thousand);137267,927;167635,249;301580,906;275975,303;773159,838;689890,633;1274672,068;688507,736;1668975,97;1554718,478
United States;Faeroe Islands;Export;  All Products;Export (US$ Thousand);3968,862;2800,199;14339,798;9870;2129,58;3560,628;1627,283;2453,563;2360,974;2336,863
United States;Falkland Island;Export;  All Products;Export (US$ Thousand);1637,59;973,369;805,502;2356,305;2718,134;3957,498;4347,073;1241,492;7845,6;2917,708
United States;Fiji;Export;  All Products;Export (US$ Thousand);32544,703;29946,856;55020,24;31172,353;43972,153;42628,53;55608,118;66935,699;79515,154;57422,098
United States;Finland;Export;  All Products;Export (US$ Thousand);2648140,797;3133056,955;3761542,705;1665563,55;2179532,042;3158715,531;2566156,117;2349033,238;2150014,04;1572377,78
United States;Fm Sudan;Export;  All Products;Export (US$ Thousand);76924,039;66940,295;143305,018;78725,71;115617,732;82056,034;;;;
United States;Fr. So. Ant. Tr;Export;  All Products;Export (US$ Thousand);129,968;392,357;4251,157;959,318;588,625;1425,658;1239,07;1749,592;8251,616;8026,602
United States;France;Export;  All Products;Export (US$ Thousand);24385839,26;27819120,33;29948924,89;27043697,29;27724342,59;28859447,73;31925499,8;33864703,84;32449632,08;31454467,96
